tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60864.445208299905,3110445204715015005,1,3110445204715,20.742706,1,3110,2.2492476,16.82555,16.8057,0.038467836,0.014,331.0585388,-1.9974811,0.91571426,t17_f5_c3,0.9999989,16.7915,0.0164,443120147.0,True,False,False,27.5.6,0.0,
ztf,60864.462233799975,3110462234715015009,2,3110462234715,20.679296,1,3110,2.1926847,16.86634,16.8842,0.04408085,0.017,331.0585269,-1.9974915,0.5228571,t17_f5_c3,0.9999499,16.9046,0.0205,443120247.0,True,False,False,27.5.6,0.0,
ztf,60865.33151620021,3111331514715015003,2,3111331514715,19.835989,1,3111,2.1454442,16.954052,16.951,0.041321173,0.0338,331.0585291,-1.9974725,0.89428574,t17_f5_c3,0.9999916,16.9465,0.0424,443120247.0,True,False,False,27.5.6,0.0,
ztf,60865.361817100085,3111361814715015002,1,3111361814715,19.56438,1,3111,2.2241294,16.880457,16.8903,0.034032658,0.0345,331.0585362,-1.9974657,0.94,t17_f5_c3,0.9999988,16.8791,0.0433,443120147.0,True,False,False,27.5.6,0.0,
ztf,60865.374004600104,3111374004715015001,1,3111374004715,19.741537,1,3111,2.232306,16.90718,16.8871,0.04919423,0.0318,331.0585356,-1.9974688,0.9128571,t17_f5_c3,0.9999836,16.8729,0.0397,443120147.0,True,False,False,27.5.6,0.0,
ztf,60865.38600690011,3111386004715015010,3,3111386004715,19.655098,1,3111,2.273399,17.629925,17.5596,0.060209364,0.0658,331.0585362,-1.9974556,0.9128571,t17_f5_c3,0.99995816,17.5042,0.0782,443120347.0,True,False,False,27.5.6,0.0,
ztf,60866.40978009999,3112409784715015003,3,3112409784715,19.398333,1,3112,2.3377783,17.772236,17.8995,0.072926,0.104,331.0585367,-1.9974857,0.89,t17_f5_c3,0.9994359,17.7831,0.118,443120347.0,True,False,False,27.5.6,0.0,
ztf,60866.41462960001,3112414624715015005,2,3112414624715,19.619972,1,3112,2.1582463,16.988504,16.9384,0.037820946,0.0367,331.0585313,-1.9974793,0.9185714,t17_f5_c3,0.999999,16.9617,0.0473,443120247.0,True,False,False,27.5.6,0.0,
ztf,60866.4375,3112437504715015000,1,3112437504715,19.41176,1,3112,2.246585,16.94852,16.8968,0.04033348,0.0376,331.0585374,-1.997478,0.9342857,t17_f5_c3,0.9999839,16.8806,0.0471,443120147.0,True,False,False,27.5.6,0.0,
ztf,60867.32664350001,3113326644715015001,2,3113326644715,19.364292,1,3113,2.1537814,17.065535,17.0794,0.041050375,0.0489,331.0585313,-1.9974791,0.9285714,t17_f5_c3,0.9999895,17.0875,0.0626,443120247.0,True,False,False,27.5.6,0.0,
