tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
ztf,60904.315821799915,3150315825015015031,2,3150315825015,20.398794,1,3150,1.6200482,19.15286,19.0958,0.110839166,0.1268,332.5443295,-7.6500125,0.86714286,t17_f5_c3,0.99998677,19.1364,0.1674,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60904.316770799924,3150316775015015027,2,3150316775015,20.41903,1,3150,1.5634112,19.149633,19.2184,0.111152545,0.137,332.5443265,-7.6500443,0.8757143,t17_f5_c3,0.9998375,19.4119,0.2081,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60905.33833329985,3151338335015015026,2,3151338335015,20.403765,1,3151,1.5663754,19.317389,19.3007,0.15171576,0.1556,332.5443228,-7.6500316,0.74857146,t17_f5_c3,0.94263804,19.3574,0.2086,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60905.366782399826,3151366785015015020,1,3151366785015,20.58743,1,3151,1.5432764,20.132467,20.3819,0.18514372,0.3469,332.5443377,-7.649979,0.8471429,t17_f5_c3,0.99992704,19.8005,0.2599,391120150.0,True,False,False,27.5.6,0.0,,,,
ztf,60909.29416669998,3155294165015015020,1,3155294165015,20.2922,1,3155,1.60333,20.178,20.6028,0.257252,0.4852,332.544392,-7.6500762,0.818571,t17_f5_c3,,20.7775,0.7288,,False,False,True,27.5.6,0.0,3.178250215015015e+18,,,
ztf,60910.27429400012,3156274295015015023,2,3156274295015,20.225325,1,3156,1.5944115,19.600622,20.0846,0.15794452,0.3621,332.5443288,-7.6500295,0.80142856,t17_f5_c3,0.9994728,20.0119,0.4327,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60910.27619209979,3156276195015015023,2,3156276195015,20.13745,1,3156,1.532294,19.567774,19.7884,0.13934751,0.3082,332.5443044,-7.6500127,0.76714283,t17_f5_c3,0.9990773,19.5753,0.324,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60911.269571799785,3157269575015015014,1,3157269575015,20.3875,1,3157,1.49583,20.2429,20.6865,0.249091,0.5469,332.5443514,-7.65004,0.785714,t17_f5_c3,,20.8729,0.8309,,False,False,True,27.5.6,0.0,3.178250215015015e+18,,,
ztf,60911.31663190015,3157316635015015028,2,3157316635015,20.337587,1,3157,1.6148438,19.559233,19.5887,0.15546332,0.205,332.5443315,-7.6500165,0.8157143,t17_f5_c3,0.9850161,20.001,0.3816,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60913.27045139996,3159270455015015029,2,3159270455015,20.218645,1,3159,1.5989939,19.579504,19.8327,0.12869632,0.2778,332.5443402,-7.6500533,0.81142855,t17_f5_c3,0.9999951,19.8913,0.3743,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60913.290381900035,3159290385015015026,2,3159290385015,20.36523,1,3159,1.7002958,19.618267,19.4348,0.1556398,0.1781,332.5443734,-7.6500644,0.75142854,t17_f5_c3,0.99801546,19.3854,0.2168,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60913.33358799992,3159333585015015021,1,3159333585015,20.3415,1,3159,1.20574,20.1646,20.1249,0.230102,0.3279,332.5442612,-7.6500363,0.831429,t17_f5_c3,,20.0187,0.3798,,False,True,False,27.5.6,0.0,3.178250215015015e+18,18.979101,0.069706954,0.07721841
ztf,60914.347372699995,3160347375015015021,2,3160347375015,20.191574,1,3160,1.671635,19.556149,19.6374,0.12550655,0.2441,332.5443512,-7.6500224,0.86285716,t17_f5_c3,0.9999923,19.5073,0.2767,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60916.27927079983,3162279275015015019,2,3162279275015,20.327559,1,3162,1.6549748,19.724012,19.4159,0.13570374,0.1822,332.5443256,-7.6499767,0.7014286,t17_f5_c3,0.99903315,19.4775,0.2458,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60916.280219899956,3162280215015015021,2,3162280215015,20.294437,1,3162,1.6296476,19.70844,19.439,0.14897758,0.1896,332.5443464,-7.6500451,0.80285716,t17_f5_c3,0.9999398,19.6879,0.304,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60917.33646989986,3163336465015015028,2,3163336465015,20.34123,1,3163,1.7479559,19.644922,19.8068,0.13953482,0.2524,332.5443663,-7.6500052,0.8657143,t17_f5_c3,0.9994869,19.5819,0.2621,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60918.3359375,3164335935015015027,2,3164335935015,20.302166,1,3164,1.7250794,19.780186,19.6758,0.14441864,0.2214,332.5443657,-7.6500219,0.87857145,t17_f5_c3,0.99986994,19.7251,0.2955,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60918.34428239986,3164344285015015020,2,3164344285015,20.171968,1,3164,1.5720842,19.610914,19.3723,0.14583693,0.1811,332.5443266,-7.6500369,0.87,t17_f5_c3,0.9978978,19.2528,0.2072,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60919.37207179982,3165372075015015024,2,3165372075015,20.261347,1,3165,1.543343,19.73882,19.9655,0.15976085,0.3058,332.5443233,-7.6500521,0.70714283,t17_f5_c3,0.68699574,20.0868,0.4364,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60920.3778241002,3166377825015015018,2,3166377825015,20.097725,1,3166,1.6456178,19.804077,19.8512,0.18422745,0.3195,332.5443439,-7.6500254,0.80857146,t17_f5_c3,0.998701,19.8119,0.3945,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60920.43578700023,3166435785015015015,2,3166435785015,19.822422,1,3166,1.53319,19.689121,19.7095,0.19074108,0.3567,332.544319,-7.6500477,0.8,t17_f5_c3,0.9468863,20.3722,0.8402,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60932.25021990016,3178250215015015033,2,3178250215015,20.2603,1,3178,1.793386,19.981606,20.1301,0.18872572,0.3448,332.5443788,-7.6499987,0.80285716,t17_f5_c3,0.9999833,20.0664,0.4157,391120250.0,True,False,False,27.5.6,0.0,,,,
