tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60922.18187499978,3168181872415015013,1,3168181872415,19.768082,1,3168,3.129687,18.902012,18.8677,0.13661727,0.1884,316.9606595,18.1521803,0.92142856,t17_f5_c3,0.999598,19.2525,0.3444,594120124.0,True,False,False,27.5.6,0.0,
ztf,60922.276493099984,3168276492415015009,2,3168276492415,19.8229,1,3168,3.84989,18.5795,19.0706,0.10485,0.2314,316.9606496,18.1521506,0.738571,t17_f5_c3,,18.8066,0.2337,,False,False,False,27.5.6,0.0,3.194275422415015e+18
ztf,60924.17629629979,3170176292415015013,2,3170176292415,19.59675,1,3170,3.729814,18.63553,18.572,0.10495028,0.1721,316.9606831,18.1521804,0.9242857,t17_f5_c3,0.9997595,18.5474,0.2162,594120224.0,True,False,False,27.5.6,0.0,
ztf,60924.26245369995,3170262452415015013,1,3170262452415,19.466768,1,3170,3.0696115,18.96479,19.0046,0.13075033,0.2699,316.9606406,18.1522036,0.92142856,t17_f5_c3,0.99990344,18.8069,0.2892,594120124.0,True,False,False,27.5.6,0.0,
ztf,60926.25009260001,3172250092415015006,2,3172250092415,19.785381,1,3172,3.7342503,18.63036,19.0416,0.08788853,0.2354,316.960661,18.1521801,0.7785714,t17_f5_c3,0.92295456,18.9863,0.2875,594120224.0,True,False,False,27.5.6,0.0,
ztf,60926.305763899814,3172305762415015004,1,3172305762415,19.356293,1,3172,3.2328215,19.163445,19.664,0.18032067,0.5486,316.9606804,18.1521402,0.74714285,t17_f5_c3,0.8621823,19.5071,0.6102,594120124.0,True,False,False,27.5.6,0.0,
ztf,60928.22425930016,3174224252415015010,2,3174224252415,20.2384,1,3174,3.8471,18.7193,18.7696,0.072602,0.1229,316.9606584,18.1521494,0.935714,t17_f5_c3,,18.5919,0.134,,False,False,False,27.5.6,0.0,3.194275422415015e+18
ztf,60928.278402800206,3174278402415015009,1,3174278402415,19.861252,1,3174,3.143225,19.007183,19.1355,0.10191188,0.2066,316.9606748,18.1521687,0.94142854,t17_f5_c3,0.9999975,19.0765,0.2512,594120124.0,True,False,False,27.5.6,0.0,
ztf,60932.224699100014,3178224692415015025,2,3178224692415,20.852545,1,3178,3.796104,18.84214,18.7713,0.071587294,0.0827,316.9606662,18.1521614,0.92,t17_f5_c3,0.999125,18.5174,0.0842,594120224.0,True,False,False,27.5.6,0.0,
ztf,60932.28968749987,3178289682415015035,1,3178289682415,20.5408,1,3178,3.21075,19.147,18.9919,0.11315,0.1074,316.9606354,18.1521636,0.902857,t17_f5_c3,,18.7948,0.1147,,False,False,False,27.5.6,0.0,3.194275422415015e+18
ztf,60934.26091440022,3180260912415015034,2,3180260912415,20.732351,1,3180,3.803907,18.93879,18.9554,0.06470483,0.1034,316.9606706,18.1521599,0.93,t17_f5_c3,0.9999944,18.844,0.1202,594120224.0,True,False,False,27.5.6,0.0,
ztf,60934.32708329987,3180327082415015025,1,3180327082415,20.066963,1,3180,3.0618174,19.222057,19.213,0.1555034,0.1398,316.9606982,18.1521838,0.6142857,t17_f5_c3,0.999877,19.149,0.169,594120124.0,True,False,False,27.5.6,0.0,
ztf,60948.21732639987,3194217322415015009,2,3194217322415,20.573416,1,3194,3.775755,19.419628,19.2457,0.100638635,0.1475,316.9606921,18.1521669,0.8757143,t17_f5_c3,0.9964636,19.0276,0.1551,594120224.0,True,False,False,27.5.6,0.0,
ztf,60948.27542820014,3194275422415015024,1,3194275422415,20.763807,1,3194,3.1062496,19.409847,19.385,0.10164129,0.1285,316.9606505,18.1521897,0.89285713,t17_f5_c3,0.99999535,19.1905,0.1376,594120124.0,True,False,False,27.5.6,0.0,
